,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,mse_mean,mse_std,training_time_minutes
vit_base_patch16_224_block0_attention,14.28540655512793,0.9312682530212558,0.45428499579429626,0.04533306509256363,0.5086805522441864,0.03276229531233497,0.04152664225548506,0.007518558085635622,32.20539343357086
vit_base_patch16_224_block1_attention,14.010724845574455,0.8654006875226835,0.37664276361465454,0.042840953916311264,0.6114647924900055,0.02741820252908095,0.04360615853220225,0.007526504177763833,32.500407981872556
vit_base_patch16_224_block5_attention,13.88757394478894,0.8227713870496439,0.3458911180496216,0.04437074437737465,0.6541844546794892,0.027484832990486034,0.0445328950881958,0.007445844669271214,33.140366446971896
vit_base_patch16_224_block8_attention,13.33180440519799,0.7109356760143108,0.28943437337875366,0.04705085605382919,0.7898385226726532,0.031411484562143314,0.049633842706680295,0.0073721598615982395,33.72585750023524
vit_base_patch16_224_block11_attention,12.849409212940301,0.6543046471119447,0.27848854660987854,0.04589005559682846,0.8610587984323501,0.025648424772891323,0.05470329280942678,0.007413234452041919,34.21935720046361
