,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,mse_mean,mse_std,training_time_minutes
resnet34_layer1_attention,14.31655441021648,0.9395729823986082,0.47440728545188904,0.044846899807453156,0.45482029020786285,0.03091256803545585,0.04128852365538478,0.0075160960808639075,69.75606878201167
resnet34_layer2_attention,14.041161514475528,0.8594613301998997,0.3896235227584839,0.04164965823292732,0.5548178344964981,0.02932024470422027,0.04331640601158142,0.007437438115857097,30.002098735173544
resnet34_layer3_attention,13.124965985840564,0.7098028496014752,0.2829413115978241,0.04478006809949875,0.7821431785821915,0.02543814879653694,0.05198418088257313,0.007393217498892315,29.881827982266746
resnet34_layer4_attention,12.722731304637904,0.6275584525363751,0.27229782938957214,0.046077627688646317,0.8672210663557053,0.023462983522403124,0.056604782678186895,0.007241101913862091,29.993408584594725
