epoch,train_loss,train_mse,train_lpips,val_loss,val_mse,val_lpips,learning_rate
1,0.624246206576936,0.975131911970675,0.2733605003799312,0.5218028570525348,0.8522206669207663,0.1913850478362292,0.001
2,0.5520710851997137,0.8963839201256633,0.20775825051823632,0.5176573112607002,0.8569008642341942,0.17841375712305307,0.001
3,0.5383667738409713,0.886754646198824,0.18997890278697013,0.5114101300947368,0.8397594584617764,0.18306080240290612,0.001
4,0.5365166546078399,0.8843019473250024,0.18873136079637334,0.507874418888241,0.8352848410140723,0.18046400018502026,0.001
5,0.5301105717662722,0.8829915728420019,0.17722956852521748,0.5037355192005635,0.8436821921728551,0.16378884867299348,0.001
6,0.5249461587634869,0.8771215755143202,0.1727707407437265,0.49992019427008927,0.8291245848871768,0.17071580321062357,0.001
7,0.5269927855115384,0.8845639601117,0.16942161234328523,0.498188943695277,0.8273555572610348,0.1690223330631852,0.001
8,0.5244159167865291,0.8774254031595774,0.1714064323110506,0.5024459045380354,0.839705006685108,0.1651868018787354,0.001
9,0.5190802233177237,0.872597074136138,0.16556337152142078,0.49710352746769787,0.8326709195971489,0.1615361297968775,0.001
10,0.5192964555462822,0.8766721067484469,0.16192080392502248,0.4990255571901798,0.8336122318636626,0.16443888389039785,0.001
11,0.5188547208555974,0.8727566159912385,0.16495282639516518,0.49699576902203263,0.8398626963607967,0.15412883879616857,0.001
12,0.513535325601697,0.8683068782440386,0.15876377262175084,0.4929948997683823,0.8365208393894136,0.1494689594488591,0.001
13,0.515611415647436,0.8716712578083389,0.15955157205462456,0.49555246462114155,0.8390207805670797,0.15208414716180413,0.001
14,0.5170331002445891,0.8747690142132342,0.15929718542611226,0.49930441048927604,0.8386905977502466,0.15991822578944265,0.001
15,0.5176351550268009,0.8757468993775547,0.15952341093798167,0.4923132752534002,0.8363983801100403,0.14822817149106413,0.001
16,0.5185668784775771,0.8748283138964326,0.16230544371064753,0.4923308207653463,0.8334772255737335,0.15118441842496394,0.001
17,0.5144778221612796,0.8725401650299318,0.15641548038693145,0.5012172521557658,0.8417931785807014,0.16064132454339414,0.001
18,0.5188562753726729,0.8780247027752921,0.15968784875003622,0.49265702930279076,0.8336879030801356,0.15162615864537657,0.001
19,0.5124986250652,0.8703557043336332,0.15464154562214388,0.49132152991369366,0.836931025935337,0.145712031587027,0.001
20,0.5147740673855878,0.8735215888475067,0.15602654727408663,0.49540787204168735,0.8446175267919898,0.14619821505621075,0.001
21,0.5154192171408795,0.8760353714460507,0.15480306341778488,0.492249154439196,0.8339698952157051,0.150528411869891,0.001
22,0.5135216226219199,0.8729403292876668,0.15410291430889628,0.49021808882243934,0.8338431133423001,0.1465930616017431,0.001
23,0.5165316420840099,0.8799929237109609,0.15307036070153118,0.48915078639984133,0.8320037063211203,0.14629786727018654,0.001
24,0.513803783338517,0.874700528383255,0.1529070381191559,0.48930161660537125,0.8303552967030555,0.1482479380676523,0.001
25,0.5134649800485931,0.8738311910186894,0.15309877052204685,0.490287365578115,0.8345520319417119,0.14602269979659468,0.001
26,0.5126180698047392,0.8728472605231218,0.15238887869636528,0.4898557040374726,0.8312617304269224,0.1484496745513752,0.001
27,0.5126145912450738,0.8725398280192167,0.15268935523345134,0.4896774153690785,0.8388822559732944,0.14047257769852878,0.001
28,0.513548756763339,0.875985435466282,0.15111207794398068,0.4912797870580107,0.8331703531555832,0.14938922035507857,0.001
29,0.5132113127619959,0.8733456593472511,0.15307696698000656,0.4939408582635224,0.8447611417155713,0.14312057443894446,0.0005
30,0.506004216754809,0.8661528791300952,0.1458555525750853,0.4873684777878225,0.8331431488040835,0.14159380740020425,0.0005
