,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,mse_mean,mse_std,training_time_minutes
vgg16_block1_attention,14.450490380010766,2.2700152763913053,0.5298893,0.12096234,0.39769279286265374,0.10908022107227455,0.04040790441940771,0.018306073300306838,162.82
vgg16_block2_attention,14.340779608348077,0.9400557157618886,0.4947458803653717,0.044868070632219315,0.4323728159070015,0.031343938370507356,0.04110723789781332,0.007503042134480047,12.886373619238535
vgg16_block3_attention,14.009091026091252,0.8539192548005601,0.40504318475723267,0.04385531321167946,0.5363668650388718,0.03057125290635612,0.043522689305245874,0.007454026048169725,11.422342733542125
vgg16_block4_attention,13.401737733118969,0.6927528452069606,0.30533716082572937,0.048178043216466904,0.7091124802827835,0.037670128371470955,0.04890880472958088,0.007188196973243026,11.454208266735076
vgg16_block5_attention,12.681121545146171,0.5888323319515522,0.27289479970932007,0.04658778756856918,0.8800209879875183,0.03033586293783952,0.05687603987753391,0.006851370124907666,11.479936377207439
