image_idx,psnr,ssim
0,9.451854810302386,0.2881622314453125
1,10.8232743721967,0.19298863410949707
2,9.432942621981692,0.22731614112854004
3,8.925191026021038,0.3012133538722992
4,8.311059866644763,0.3002302646636963
5,9.752964687335286,0.24357819557189941
6,10.223036902442397,0.14119474589824677
7,10.506544194999421,0.18401964008808136
8,9.96641403174879,0.2337082028388977
9,11.310408818768295,0.1952388435602188
10,10.836362587327262,0.11579021066427231
11,9.708913194540171,0.24057359993457794
12,9.083716972928555,0.27835702896118164
13,9.731955534848177,0.13510675728321075
14,10.340576943988815,0.16706041991710663
15,9.264622871307806,0.2260182946920395
16,9.487875528830234,0.2672588527202606
17,8.54291097819959,0.36581969261169434
18,11.173413669892373,0.1768730878829956
19,8.814842072362527,0.2898467481136322
20,11.076832198827187,0.3571583330631256
21,12.044463259521391,0.19459809362888336
22,8.665544667690867,0.33207938075065613
23,9.00965574992909,0.32788434624671936
24,9.78680590543317,0.3550628125667572
25,10.232573476723676,0.2789878845214844
26,12.718438191728758,0.01843339577317238
27,12.283375682961783,0.07039687037467957
28,10.77459050873857,0.16981320083141327
29,9.702395148825403,0.27155938744544983
30,11.311875877319764,0.15295195579528809
31,11.20833681841493,0.20921377837657928
32,7.022856301762123,0.3977741301059723
33,9.28054472876825,0.23156337440013885
34,10.28451532968015,0.210637167096138
35,9.335941742782435,0.3117973506450653
36,11.632754822110314,0.23932301998138428
37,11.604475302172235,0.16435836255550385
38,11.909824716118951,0.13146166503429413
39,11.638238932331031,0.13892138004302979
40,11.55452970088739,0.11875996738672256
41,8.178675300967221,0.25411179661750793
42,13.119729121295268,0.12753067910671234
43,7.141926283398753,0.4159362018108368
44,8.017378992505273,0.40420201420783997
45,8.913846928068809,0.23992250859737396
46,10.106726163205856,0.29258105158805847
47,9.919961635204517,0.28585293889045715
48,10.855299064142127,0.3745301067829132
49,10.868090868497543,0.2645024061203003
50,11.36125710138127,0.14639781415462494
51,15.614470256056041,0.008648996241390705
52,12.442060465281074,0.11702581495046616
53,9.087121690087594,0.40875935554504395
54,10.548581483137172,0.27982088923454285
55,10.084193432147977,0.02553064562380314
56,9.750976532519879,0.26606130599975586
57,13.148881810754304,0.11071226745843887
58,8.091278570728015,0.30291712284088135
59,10.508022923268939,0.2397361844778061
60,10.660853267209625,0.20059412717819214
61,9.912743024736015,0.3443417251110077
62,8.851486551191595,0.289393812417984
63,10.890612085951403,0.14013276994228363
64,9.845991796035971,0.24565941095352173
65,9.146536622170403,0.3808339834213257
66,10.830945914666339,0.26642271876335144
67,7.2258460023776525,0.48034968972206116
68,10.973241257366212,0.20809747278690338
69,11.802328864591988,0.23755423724651337
70,9.24349908906839,0.32375669479370117
71,9.325219904428469,0.3530517518520355
72,10.120708045661267,0.2392047643661499
73,10.197910955439953,0.33473458886146545
74,11.84831507745292,0.2588059604167938
75,13.09955985336778,0.05863627791404724
76,12.312904926996218,0.03324095532298088
77,8.490737229170247,0.364938348531723
78,9.79690683830185,0.27276408672332764
79,10.366054125803663,0.2891882658004761
80,8.989691861413274,0.2983218729496002
81,10.672155290599967,0.2550751864910126
82,9.730414553251807,0.2656562626361847
83,11.188541896205301,0.3034365773200989
84,11.028676404491248,0.18131650984287262
85,10.432325507839673,0.2085462063550949
86,9.230367664750023,0.30296841263771057
87,9.382315221566728,0.2825249135494232
88,10.73542771204388,0.3049490451812744
89,10.301236198853992,0.3029283285140991
90,10.590343409685236,0.33391860127449036
91,8.028692541047143,0.33715978264808655
92,10.990458041478819,0.1588527113199234
93,8.119959292003141,0.2910500466823578
94,11.24908376828126,0.18223220109939575
95,7.8801639939647705,0.4220104217529297
96,12.260792603720056,0.33313414454460144
97,10.097508721579139,0.32961711287498474
98,12.52077706126582,0.2291116565465927
99,12.289153247015514,0.1844395399093628
